team,year,name,country,state,district,rookie_year,district_points,district_rank,epa.total_points.mean,epa.total_points.sd,epa.unitless,epa.norm,epa.conf,epa.breakdown.total_points,epa.breakdown.auto_points,epa.breakdown.teleop_points,epa.breakdown.endgame_points,epa.breakdown.energized_rp,epa.breakdown.supercharged_rp,epa.breakdown.traversal_rp,epa.breakdown.tiebreaker_points,epa.breakdown.auto_fuel,epa.breakdown.auto_tower,epa.breakdown.transition_fuel,epa.breakdown.first_shift_fuel,epa.breakdown.second_shift_fuel,epa.breakdown.teleop_fuel,epa.breakdown.endgame_fuel,epa.breakdown.endgame_tower,epa.breakdown.total_fuel,epa.breakdown.total_tower,epa.breakdown.rp_1,epa.breakdown.rp_2,epa.breakdown.rp_3,epa.stats.start,epa.stats.pre_champs,epa.stats.max,epa.ranks.total.rank,epa.ranks.total.percentile,epa.ranks.total.team_count,epa.ranks.country.rank,epa.ranks.country.percentile,epa.ranks.country.team_count,epa.ranks.state.rank,epa.ranks.state.percentile,epa.ranks.state.team_count,epa.ranks.district.rank,epa.ranks.district.percentile,epa.ranks.district.team_count,record.wins,record.losses,record.ties,record.count,record.winrate,competing.this_week,competing.next_event_key,competing.next_event_name,competing.next_event_week
3506,2026,YETI Robotics,USA,NC,fnc,2011,243.0,6.0,112.97,9.44,1684.0,1627.0,"[-0.86, 0.9]",112.97,22.37,63.35,27.26,0.4523,-0.2417,-0.34005,112.97,22.5,-0.13,5.01,32.88,25.45,63.35,27.35,-0.09,113.19,-0.22,0.4523,-0.2417,-0.34005,52.15,112.97,114.96,441,0.8816,3724,370,0.8743,2944,7,0.9213,89,7,0.9213,89,40,9,0,49,0.8163,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3512,2026,Spartatroniks,USA,CA,ca,2011,166.0,38.0,141.53,25.11,1760.0,1666.0,"[-0.91, 0.85]",141.53,19.87,80.69,40.96,0.4284,0.2219,-0.34005,141.53,19.42,0.45,10.21,42.71,27.77,80.69,40.07,0.89,140.19,1.34,0.4284,0.2219,-0.34005,53.95,141.53,158.21,252,0.9323,3724,214,0.9273,2944,37,0.8729,291,37,0.8729,291,31,15,0,46,0.6739,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3539,2026,Byting Bulldogs,USA,MI,fim,2011,234.0,29.0,179.45,37.14,1861.0,1726.0,"[-0.91, 0.84]",179.45,37.11,99.61,42.73,0.5926,0.0759,-0.34018,179.45,28.43,8.68,9.37,50.4,39.84,99.61,36.3,6.43,164.34,15.11,0.5926,0.0759,-0.34018,76.57,179.45,200.04,103,0.9723,3724,81,0.9725,2944,12,0.9774,530,12,0.9774,530,38,10,0,48,0.7917,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
3641,2026,The Flying Toasters,USA,MI,fim,2011,253.0,23.0,141.32,28.43,1759.0,1665.0,"[-0.89, 0.86]",141.32,37.27,75.87,28.18,0.5982,-0.026,-0.27406,141.32,36.96,0.31,9.52,33.73,32.62,75.87,27.67,0.51,140.5,0.82,0.5982,-0.026,-0.27406,46.77,141.32,157.82,254,0.9318,3724,216,0.9266,2944,40,0.9245,530,40,0.9245,530,35,17,0,52,0.6731,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4143,2026,MARS/WARS,USA,IL,,2012,,,148.52,23.11,1779.0,1674.0,"[-0.74, 1.01]",148.52,28.45,84.1,35.97,0.6467,-0.1685,-0.33807,148.52,28.04,0.41,13.35,32.52,38.24,84.1,36.04,-0.07,148.18,0.34,0.6467,-0.1685,-0.33807,72.65,148.52,148.52,210,0.9436,3724,174,0.9409,2944,5,0.9091,55,56,0.9652,1611,31,3,0,34,0.9118,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4174,2026,Mustang Robotics,USA,MN,,2012,,,141.5,22.85,1760.0,1666.0,"[-0.86, 0.91]",141.5,22.72,79.68,39.11,0.6001,-0.2319,-0.33782,141.5,22.56,0.16,12.05,37.47,30.16,79.68,39.87,-0.76,142.1,-0.6,0.6001,-0.2319,-0.33782,57.08,141.5,147.39,253,0.9321,3724,215,0.927,2944,4,0.9786,187,68,0.9578,1611,25,5,0,30,0.8333,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4191,2026,IMC,Türkiye,,,2012,,,6.64,15.29,1400.0,1369.0,"[-1.0, 0.76]",6.64,2.17,3.22,1.25,-0.019,-0.2515,-0.33806,6.64,2.24,-0.07,0.8,-1.0,3.42,3.22,1.72,-0.47,7.17,-0.54,-0.019,-0.2515,-0.33806,7.92,6.64,12.65,3611,0.0303,3724,191,0.0498,201,566,0.0487,595,1543,0.0422,1611,10,21,0,31,0.3226,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4201,2026,The Vitruvian Bots,USA,CA,ca,2012,218.0,19.0,149.24,24.76,1781.0,1675.0,"[-0.84, 0.92]",149.24,27.36,78.65,43.23,0.5691,0.2184,-0.33988,149.24,27.39,-0.03,10.22,34.55,33.89,78.65,43.44,-0.21,149.48,-0.24,0.5691,0.2184,-0.33988,48.97,149.24,151.06,204,0.9452,3724,170,0.9423,2944,32,0.89,291,32,0.89,291,35,15,0,50,0.7,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4613,2026,Barker Redbacks,Australia,,,2013,,,40.32,14.29,1490.0,1489.0,"[-1.13, 0.96]",40.32,7.88,21.33,11.11,0.2092,-0.223,-0.33593,40.32,6.76,1.11,2.23,10.75,8.34,21.33,11.27,-0.16,39.37,0.95,0.2092,-0.223,-0.33593,86.45,40.32,42.82,1683,0.5481,3724,9,0.7692,39,197,0.6689,595,611,0.6207,1611,8,6,0,14,0.5714,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
4698,2026,Raider Robotics,USA,CA,ca,2013,202.0,28.0,190.0,28.55,1889.0,1744.0,"[-0.86, 0.9]",190.0,44.99,89.92,55.1,0.6656,0.2522,-0.34003,190.0,45.19,-0.21,6.49,48.96,34.46,89.92,54.85,0.24,189.97,0.04,0.6656,0.2522,-0.34003,54.38,190.0,195.46,86,0.9769,3724,68,0.9769,2944,13,0.9553,291,13,0.9553,291,32,18,0,50,0.64,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
5000,2026,HAMMERHEADS,USA,MA,ne,2014,257.0,8.0,204.44,26.33,1928.0,1770.0,"[-0.75, 1.0]",204.44,40.18,112.36,51.89,0.6516,0.425,-0.3401,204.44,39.35,0.83,10.57,45.37,56.43,112.36,52.36,-0.47,204.07,0.37,0.6516,0.425,-0.3401,56.24,204.44,204.44,59,0.9842,3724,48,0.9837,2944,4,0.9437,71,8,0.96,200,33,19,0,52,0.6346,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
5086,2026,Cadillac Connectors,USA,MI,fim,2014,194.0,49.0,132.1,27.07,1735.0,1655.0,"[-0.95, 0.81]",132.1,23.25,68.34,40.51,0.749,0.3232,-0.34013,132.1,22.54,0.71,3.38,32.84,32.12,68.34,40.7,-0.19,131.58,0.52,0.749,0.3232,-0.34013,39.39,132.1,153.32,307,0.9176,3724,258,0.9124,2944,48,0.9094,530,48,0.9094,530,32,15,0,47,0.6809,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
5348,2026,Charger Robotics,USA,MN,,2014,,,85.81,15.7,1611.0,1578.0,"[-0.81, 0.96]",85.81,15.04,48.93,21.84,0.4976,-0.1664,-0.33772,85.81,15.28,-0.24,7.12,22.54,19.27,48.93,16.64,5.2,80.85,4.97,0.4976,-0.1664,-0.33772,57.64,85.81,86.31,702,0.8115,3724,585,0.8013,2944,25,0.8663,187,230,0.8572,1611,21,9,0,30,0.7,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
5406,2026,Celt-X,Canada,ON,ont,2015,273.0,10.0,174.56,38.66,1848.0,1717.0,"[-1.02, 0.71]",174.56,33.66,103.52,37.38,0.635,0.2731,-0.34002,174.56,34.65,-0.99,18.4,44.07,41.05,103.52,37.01,0.37,175.18,-0.62,0.635,0.2731,-0.34002,89.26,174.56,201.31,125,0.9664,3724,15,0.9189,185,15,0.8739,119,15,0.8739,119,39,11,0,50,0.78,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
5454,2026,Obsidian,USA,AR,,2015,,,90.4,28.58,1624.0,1586.0,"[-0.74, 1.01]",90.4,15.98,54.29,20.12,0.3191,-0.0924,-0.33816,90.4,15.59,0.39,7.44,31.77,15.09,54.29,17.42,2.7,87.31,3.1,0.3191,-0.0924,-0.33816,49.18,90.4,94.27,651,0.8252,3724,546,0.8145,2944,3,0.625,8,209,0.8703,1611,20,11,0,31,0.6452,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6121,2026,RoboVikes,USA,MI,fim,2016,185.0,59.0,104.01,32.77,1660.0,1611.0,"[-0.89, 0.86]",104.01,12.92,60.63,30.46,0.4243,0.0739,-0.34006,104.01,13.34,-0.42,5.91,29.83,24.88,60.63,31.09,-0.63,105.06,-1.05,0.4243,0.0739,-0.34006,53.25,104.01,110.38,515,0.8617,3724,433,0.8529,2944,74,0.8604,530,74,0.8604,530,30,16,0,46,0.6522,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6152,2026,Robo-Falcons,USA,MI,fim,2016,181.0,64.0,152.72,15.87,1790.0,1679.0,"[-0.8, 0.96]",152.72,28.91,83.5,40.31,0.5437,0.3347,-0.34004,152.72,28.97,-0.06,10.1,37.74,35.66,83.5,39.64,0.66,152.12,0.6,0.5437,0.3347,-0.34004,42.0,152.72,154.44,191,0.9487,3724,157,0.9467,2944,26,0.9509,530,26,0.9509,530,31,18,0,49,0.6327,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6200,2026,PrepaTec - XRAMS,Mexico,,,2016,,,6.0,19.22,1399.0,1366.0,"[-1.18, 0.87]",6.0,4.86,1.84,-0.7,-0.0831,-0.228,-0.33593,6.0,3.92,0.94,-0.23,-0.46,2.53,1.84,-0.73,0.04,5.03,0.97,-0.0831,-0.228,-0.33593,26.15,6.0,16.3,3630,0.0252,3724,84,0.0562,89,570,0.042,595,1552,0.0366,1611,9,7,0,16,0.5625,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6328,2026,Mechanical Advantage,USA,MA,ne,2017,341.0,5.0,227.05,38.31,1988.0,1810.0,"[-1.02, 0.71]",227.05,47.24,137.64,42.16,0.6982,0.5097,-0.34014,227.05,47.25,-0.01,21.51,69.69,46.45,137.64,42.54,-0.38,227.44,-0.39,0.6982,0.5097,-0.34014,93.85,227.05,264.9,33,0.9911,3724,26,0.9912,2944,2,0.9718,71,5,0.975,200,44,8,0,52,0.8462,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6329,2026,The Bucks' Wrath,USA,ME,ne,2017,353.0,4.0,254.16,26.39,2060.0,1858.0,"[-0.91, 0.84]",254.16,57.26,139.0,57.9,0.6562,0.8199,-0.34012,254.16,57.66,-0.4,23.04,63.16,52.79,139.0,57.35,0.56,254.0,0.16,0.6562,0.8199,-0.34012,97.5,254.16,269.48,18,0.9952,3724,14,0.9952,2944,2,0.875,16,4,0.98,200,46,10,1,57,0.8158,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6517,2026,So-Kno Robo,USA,TN,,2017,,,116.01,15.55,1692.0,1633.0,"[-0.83, 0.95]",116.01,21.08,67.03,27.91,0.6479,-0.0939,-0.33765,116.01,20.64,0.44,6.8,31.66,28.57,67.03,28.07,-0.16,115.74,0.27,0.6479,-0.0939,-0.33765,57.21,116.01,116.1,415,0.8886,3724,348,0.8818,2944,3,0.8889,27,125,0.9224,1611,20,10,0,30,0.6667,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
6639,2026,The Mechanical Minds,USA,NC,fnc,2017,122.0,26.0,51.1,21.71,1519.0,1512.0,"[-0.78, 0.97]",51.1,8.91,28.49,13.7,-0.0969,-0.1788,-0.34,51.1,9.03,-0.11,3.11,14.83,10.56,28.49,13.81,-0.11,51.32,-0.22,-0.0969,-0.1788,-0.34,44.32,51.1,53.51,1307,0.649,3724,1075,0.6349,2944,26,0.7079,89,26,0.7079,89,22,21,0,43,0.5116,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
7287,2026,Esquimalt Atom Smashers,Canada,BC,,2018,,,31.46,13.27,1467.0,1467.0,"[-0.74, 1.31]",31.46,6.4,17.4,7.66,0.0855,-0.228,-0.33593,31.46,5.78,0.62,2.32,5.34,9.75,17.4,7.85,-0.19,31.03,0.43,0.0855,-0.228,-0.33593,27.08,31.46,31.46,2150,0.4227,3724,121,0.3459,185,7,0.7083,24,820,0.491,1611,6,4,0,10,0.6,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
7451,2026,AvengerRobotics,USA,GA,pch,2019,140.0,21.0,39.25,12.06,1487.0,1486.0,"[-0.9, 0.86]",39.25,11.48,22.33,5.43,0.0606,-0.246,-0.34005,39.25,11.68,-0.2,1.81,10.4,10.12,22.33,5.56,-0.13,39.58,-0.33,0.0606,-0.246,-0.34005,58.16,39.25,56.92,1743,0.532,3724,1438,0.5115,2944,34,0.5405,74,34,0.5405,74,22,19,1,42,0.5357,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
8005,2026,Mega MeadowBots,USA,NV,,2020,,,107.64,20.39,1670.0,1617.0,"[-1.02, 0.72]",107.64,25.87,60.34,21.43,0.6316,-0.1137,-0.34008,107.64,25.88,-0.01,3.94,29.17,27.23,60.34,21.45,-0.02,107.66,-0.03,0.6316,-0.1137,-0.34008,40.83,107.64,125.25,491,0.8682,3724,412,0.8601,2944,4,0.8182,22,150,0.9069,1611,32,19,0,51,0.6275,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
8044,2026,Denham Venom,USA,LA,,2020,,,223.07,26.61,1977.0,1803.0,"[-0.81, 0.95]",223.07,51.27,119.61,52.19,0.6236,0.3391,-0.33955,223.07,49.97,1.3,13.74,63.61,42.25,119.61,52.13,0.06,221.71,1.36,0.6236,0.3391,-0.33955,89.71,223.07,227.87,37,0.9901,3724,28,0.9905,2944,1,0.9737,38,11,0.9932,1611,41,4,0,45,0.9111,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
8214,2026,Cyber Unicorn,China,,,2020,,,200.99,38.82,1918.0,1764.0,"[-0.97, 1.28]",200.99,42.03,108.28,50.68,0.3901,0.32,-0.33523,200.99,41.95,0.08,1.73,56.66,49.89,108.28,49.6,1.08,199.83,1.16,0.3901,0.32,-0.33523,61.51,200.99,200.99,65,0.9825,3724,1,0.9792,48,4,0.9933,595,20,0.9876,1611,12,0,0,12,1.0,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
8267,2026,Riptide Robotics 8267,USA,NY,,2020,,,124.23,21.97,1714.0,1646.0,"[-0.81, 0.97]",124.23,28.83,67.1,28.3,0.4334,-0.1693,-0.3375,124.23,28.29,0.53,1.58,37.13,28.39,67.1,28.54,-0.23,123.92,0.3,0.4334,-0.1693,-0.3375,42.02,124.23,128.82,357,0.9041,3724,298,0.8988,2944,9,0.9408,152,102,0.9367,1611,19,11,0,30,0.6333,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
8513,2026,Sisters 1st,USA,NJ,fma,2021,306.0,3.0,173.3,16.48,1845.0,1715.0,"[-0.94, 0.82]",173.3,50.84,97.76,24.69,0.6448,0.3955,-0.34005,173.3,50.65,0.19,21.17,41.71,34.88,97.76,23.98,0.71,172.4,0.9,0.6448,0.3955,-0.34005,69.21,173.3,178.88,127,0.9659,3724,101,0.9657,2944,3,0.967,91,5,0.9645,141,42,9,0,51,0.8235,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
8749,2026,Farmersville  Robotics,USA,TX,fit,2022,238.0,13.0,150.19,36.42,1783.0,1676.0,"[-0.79, 0.97]",150.19,27.1,86.59,36.5,0.37,0.1412,-0.34013,150.19,27.68,-0.58,11.46,46.16,28.97,86.59,35.93,0.57,150.2,-0.01,0.37,0.1412,-0.34013,62.41,150.19,152.56,201,0.946,3724,167,0.9433,2944,11,0.9341,167,11,0.9385,179,28,21,0,49,0.5714,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
9449,2026,Yellowjackets,Canada,AB,,2024,,,76.91,19.96,1588.0,1561.0,"[-0.72, 1.03]",76.91,9.72,51.01,16.18,0.3595,-0.1703,-0.33796,76.91,8.88,0.84,3.5,25.82,21.69,51.01,15.79,0.39,75.68,1.23,0.3595,-0.1703,-0.33796,22.19,76.91,78.33,809,0.7828,3724,54,0.7081,185,2,0.7143,7,271,0.8318,1611,19,11,0,30,0.6333,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
9692,2026,Sigma,India,,,2024,,,64.13,31.22,1554.0,1537.0,"[-0.93, 0.87]",64.13,10.01,37.53,16.59,0.4066,-0.2332,-0.33727,64.13,9.99,0.01,2.89,16.84,17.8,37.53,16.82,-0.22,64.34,-0.21,0.4066,-0.2332,-0.33727,63.31,64.13,75.56,1023,0.7253,3724,3,0.4,5,107,0.8202,595,359,0.7772,1611,15,12,0,27,0.5556,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
9785,2026,Alectrona,Canada,ON,ont,2024,332.0,5.0,191.73,33.9,1894.0,1747.0,"[-0.82, 0.94]",191.73,42.92,109.55,39.26,0.6735,0.2328,-0.3401,191.73,43.55,-0.63,14.89,53.02,41.64,109.55,39.14,0.12,192.24,-0.51,0.6735,0.2328,-0.3401,68.89,191.73,194.9,82,0.978,3724,12,0.9351,185,12,0.8992,119,12,0.8992,119,42,15,0,57,0.7368,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
10131,2026,Royal Turtles,China,,,2025,,,187.9,37.54,1884.0,1741.0,"[-0.95, 0.81]",187.9,23.05,115.24,49.61,0.7029,0.2694,-0.33839,187.9,23.11,-0.06,13.39,48.1,53.75,115.24,49.67,-0.06,188.02,-0.12,0.7029,0.2694,-0.33839,24.22,187.9,200.8,90,0.9758,3724,2,0.9583,48,8,0.9866,595,27,0.9832,1611,30,9,0,39,0.7692,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
10907,2026,ROBOLYNX,Türkiye,,,2026,,,22.24,21.37,1442.0,1439.0,"[-0.72, 1.14]",22.24,4.07,5.7,12.46,-0.0452,-0.2333,-0.33645,22.24,4.07,-0.0,1.25,0.36,4.1,5.7,12.7,-0.23,22.47,-0.23,-0.0452,-0.2333,-0.33645,23.74,22.24,22.24,2815,0.2441,3724,119,0.408,201,400,0.3277,595,1128,0.2998,1611,10,8,0,18,0.5556,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
11024,2026,HYPERNOVA,USA,CA,ca,2026,105.0,82.0,25.26,17.37,1450.0,1449.0,"[-0.91, 0.85]",25.26,9.19,9.41,6.67,-0.0655,-0.2449,-0.34004,25.26,9.31,-0.11,-0.61,6.46,3.56,9.41,6.73,-0.06,25.44,-0.18,-0.0655,-0.2449,-0.34004,24.37,25.26,41.26,2563,0.3118,3724,2081,0.2931,2944,217,0.2543,291,217,0.2543,291,17,29,0,46,0.3696,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
11118,2026,The Baybies,China,,,2026,,,72.67,26.22,1576.0,1553.0,"[-1.0, 1.25]",72.67,11.76,39.78,21.13,0.3803,-0.2288,-0.33523,72.67,11.74,0.01,4.73,18.84,16.21,39.78,20.7,0.43,72.22,0.44,0.3803,-0.2288,-0.33523,23.74,72.67,78.04,879,0.764,3724,20,0.5833,48,90,0.8487,595,297,0.8156,1611,7,5,0,12,0.5833,False,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
11270,2026,Nova,Canada,ON,ont,2026,211.0,15.0,117.91,37.51,1697.0,1636.0,"[-0.88, 0.88]",117.91,26.83,67.94,23.14,0.3468,0.0641,-0.3401,117.91,26.82,0.0,8.11,30.7,29.14,67.94,24.02,-0.88,118.79,-0.88,0.3468,0.0641,-0.3401,23.74,117.91,153.34,401,0.8923,3724,28,0.8486,185,25,0.7899,119,25,0.7899,119,27,21,0,48,0.5625,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
11303,2026,BEZOAR ROBOTICS,Türkiye,,,2026,,,25.42,11.9,1450.0,1450.0,"[-1.23, 0.94]",25.42,5.07,13.68,6.67,0.0845,-0.0463,-0.33571,25.42,5.05,0.01,2.39,4.82,6.47,13.68,6.72,-0.05,25.45,-0.03,0.0845,-0.0463,-0.33571,23.74,25.42,27.71,2554,0.3142,3724,99,0.5075,201,345,0.4202,595,1018,0.3681,1611,4,7,0,11,0.3636,False,,,
11493,2026,Pixel Knights,USA,MI,fim,2026,118.0,115.0,53.35,36.5,1525.0,1516.0,"[-0.92, 0.84]",53.35,11.78,29.41,12.17,0.0031,-0.138,-0.34005,53.35,12.03,-0.25,1.72,14.96,12.73,29.41,11.75,0.42,53.18,0.17,0.0031,-0.138,-0.34005,23.74,53.35,64.5,1261,0.6614,3724,1040,0.6467,2944,192,0.6377,530,192,0.6377,530,19,21,0,40,0.475,True,2026cmptx,FIRST Championship - FIRST Robotics Competition,8.0
